,lon,lat,normal_angle_rad
0,-86.20971931825875,42.76693,0.12851726713006828
0,-86.2094509601943,42.764853399875726,0.330096929759198
0,-86.20916864535913,42.764029443360656,0.009859718286348906
0,-86.20912257073212,42.75935657821111,0.3361111918047306
0,-86.20893197337843,42.7588110283833,0.04849541248067557
0,-86.20882515302476,42.75661006555285,0.009294887471920532
0,-86.20874852835342,42.74836655912047,-0.13800368492556125
0,-86.20901552922014,42.74644411988398,0.2582886801982651
0,-86.20872526322017,42.745345417976765,0.008317910747439372
0,-86.20870241731156,42.74259888913993,0.33457347048885455
0,-86.20851148846151,42.742049679552046,0.008891134196149952
0,-86.20841987856136,42.73174643992827,0.14324085640536843
0,-86.20822125819176,42.73036931830505,0.027059807147165715
0,-86.20808373385987,42.725288322609906,0.33439105733077
0,-86.20789286768587,42.72473897024116,0.08244449070122783
0,-86.2074730172629,42.719657991102245,-0.3217338823815581
0,-86.20765613195945,42.719108616482146,0.009104585261533016
0,-86.20764109310208,42.717456872729436,0.2286629342024551
0,-86.20745024489288,42.71663684354369,0.009999597709512642
0,-86.20741175468754,42.712787796457285,-0.32178161365962876
0,-86.20759485161297,42.712238562544265,-0.06776820513736048
0,-86.20776288493914,42.709762829058796,0.009345756228672508
0,-86.20770898014342,42.70399516029157,-0.4181658050139001
0,-86.20807514168445,42.703171166891146,-0.09366211514246947
0,-86.20841088882518,42.699596992053365,-0.41641548492668323
0,-86.2087770055549,42.69876919811992,-0.03697470267644398
0,-86.20892954694123,42.69464551748417,-0.3153765122189336
0,-86.20928798281058,42.69354691730368,0.0074131726975716905
0,-86.20925741377776,42.68942338287569,-0.1823916871461173
0,-86.20995888611247,42.68562015874547,-0.49089398391967176
0,-86.21084384243514,42.683964602086135,-0.2925745943155911
0,-86.2120380551618,42.68,-0.2925745943155911
